# of predictors,i,predictors,fold,mcc
1,0,5,0,0.2332373706176426
1,0,5,1,0.26009081786869515
1,0,5,2,0.3491898038065911
1,0,5,3,0.05143444998736397
1,0,5,4,0.340933283839893
1,1,5,0,0.2332373706176426
1,1,5,1,0.26009081786869515
1,1,5,2,0.3491898038065911
1,1,5,3,0.05143444998736397
1,1,5,4,0.340933283839893
1,2,0,0,-0.1674864781390207
1,2,0,1,-0.055607067440108786
1,2,0,2,-0.03591444084196968
1,2,0,3,0.21524745396941738
1,2,0,4,-0.16835875742536846
1,3,1,0,0.27455224512888343
1,3,1,1,0.23123505101256164
1,3,1,2,0.4899515233367414
1,3,1,3,0.13293881025767934
1,3,1,4,0.4111255798709713
1,4,2,0,0.2184436718693164
1,4,2,1,0.2186475014631429
1,4,2,2,0.2897788366902393
1,4,2,3,0.16494259791230587
1,4,2,4,0.3883322555406392
1,5,3,0,0.17227756548913709
1,5,3,1,0.12881608339538347
1,5,3,2,0.1014515002750406
1,5,3,3,0.013405018437777727
1,5,3,4,0.09761757205352221
1,6,4,0,0.4620984646457306
1,6,4,1,0.2551478599088553
1,6,4,2,0.053871661262954514
1,6,4,3,0.18217092927237805
1,6,4,4,0.21510678386027088
1,7,6,0,0.34524100646290723
1,7,6,1,0.11403151748440064
1,7,6,2,0.4273166573647529
1,7,6,3,-0.09827642237062499
1,7,6,4,0.4615009746588694
1,8,7,0,0.19212915420202645
1,8,7,1,0.13055824196677338
1,8,7,2,0.2890547436453141
1,8,7,3,-0.10423569141651703
1,8,7,4,0.2993330436198283
1,9,8,0,0.3803610015588996
1,9,8,1,0.2349503029976014
1,9,8,2,0.4426230150728141
1,9,8,3,0.12893091766786113
1,9,8,4,0.4797116731350411
1,10,9,0,0.2908242349006542
1,10,9,1,0.328260003091497
1,10,9,2,0.49305074244841607
1,10,9,3,-0.10423569141651703
1,10,9,4,0.3872983346207417
1,11,10,0,0.28164423878484446
1,11,10,1,0.1773319037996221
1,11,10,2,0.24296359162926823
1,11,10,3,0.1517316274627237
1,11,10,4,0.17449311634602874
2,0,2|7,0,0.385006278487256
2,0,2|7,1,0.2953269258571919
2,0,2|7,2,0.3847123307304155
2,0,2|7,3,0.44379669164255897
2,0,2|7,4,0.6004325171766376
2,1,5|7,0,0.19851440394751016
2,1,5|7,1,0.25072909556945994
2,1,5|7,2,0.27616370100541104
2,1,5|7,3,-0.15896375455918474
2,1,5|7,4,0.4017943245558392
2,2,9|10,0,0.33127067443445657
2,2,9|10,1,0.2719478272743048
2,2,9|10,2,0.3421995739711804
2,2,9|10,3,-0.03627381250550058
2,2,9|10,4,0.25334729596906996
2,3,2|7,0,0.385006278487256
2,3,2|7,1,0.2953269258571919
2,3,2|7,2,0.3847123307304155
2,3,2|7,3,0.44379669164255897
2,3,2|7,4,0.6004325171766376
2,4,7|10,0,0.061865270517993724
