# of predictors,i,predictors,fold,f1_score_weighted
1,0,5,0,0.6040179751519957
1,0,5,1,0.6531236772840721
1,0,5,2,0.6752984084880637
1,0,5,3,0.5211538461538462
1,0,5,4,0.6641117020304476
1,1,5,0,0.6040179751519957
1,1,5,1,0.6531236772840721
1,1,5,2,0.6752984084880637
1,1,5,3,0.5211538461538462
1,1,5,4,0.6641117020304476
1,2,0,0,0.43692307692307697
1,2,0,1,0.48354057742138273
1,2,0,2,0.37884615384615383
1,2,0,3,0.5154068904068904
1,2,0,4,0.4155265024830242
1,3,1,0,0.6648601398601399
1,3,1,1,0.6142094017094017
1,3,1,2,0.7460180107662122
1,3,1,3,0.5427920227920228
1,3,1,4,0.7131986293276615
1,4,2,0,0.623301227074812
1,4,2,1,0.6188364688265027
1,4,2,2,0.6415429165429165
1,4,2,3,0.5582905982905983
1,4,2,4,0.6635864135864136
1,5,3,0,0.5936783216783218
1,5,3,1,0.5846153846153846
1,5,3,2,0.5508547008547008
1,5,3,3,0.4909855769230769
1,5,3,4,0.5541297412265153
1,6,4,0,0.7526357700270743
1,6,4,1,0.5741428070479045
1,6,4,2,0.5127497942660888
1,6,4,3,0.5859931113662457
1,6,4,4,0.5940019318931019
1,7,6,0,0.6828595317725752
1,7,6,1,0.5382978723404255
1,7,6,2,0.7135924345519548
1,7,6,3,0.4479908151549942
1,7,6,4,0.7384615384615385
1,8,7,0,0.6312312496486306
1,8,7,1,0.5626477541371159
1,8,7,2,0.6359467455621303
1,8,7,3,0.43589743589743596
1,8,7,4,0.6126510305614783
1,9,8,0,0.6694812849985264
1,9,8,1,0.6220671220671221
1,9,8,2,0.6963077471906772
1,9,8,3,0.45443717039461723
1,9,8,4,0.7406535514294136
1,10,9,0,0.6760284421460891
1,10,9,1,0.6789940828402368
1,10,9,2,0.7466810917407322
1,10,9,3,0.43589743589743596
1,10,9,4,0.6604166666666665
1,11,10,0,0.6406153846153846
1,11,10,1,0.5363854895104895
1,11,10,2,0.5859810562230443
1,11,10,3,0.5690384615384616
1,11,10,4,0.480962280962281
2,0,2|7,0,0.6991360089186175
2,0,2|7,1,0.6435051148426943
2,0,2|7,2,0.6888797477032771
2,0,2|7,3,0.7186913381603647
2,0,2|7,4,0.8041212449758567
2,1,5|7,0,0.6021463916200759
2,1,5|7,1,0.6471065879932875
2,1,5|7,2,0.6378262260615202
2,1,5|7,3,0.4027924130663856
2,1,5|7,4,0.687288637967537
2,2,9|10,0,0.701783040696883
2,2,9|10,1,0.6675709460357989
2,2,9|10,2,0.6506481299320175
2,2,9|10,3,0.47254738015607584
2,2,9|10,4,0.5617455008759357
2,3,2|7,0,0.6991360089186175
2,3,2|7,1,0.6435051148426943
2,3,2|7,2,0.6888797477032771
2,3,2|7,3,0.7186913381603647
2,3,2|7,4,0.8041212449758567
2,4,7|10,0,0.5718120805369127
2,4,7|10,1,0.6537526205450734
2,4,7|10,2,0.6343852874646619
2,4,7|10,3,0.5104503339797457
2,4,7|10,4,0.6202863276034007
2,5,5|6,0,0.683918042216371
2,5,5|6,1,0.5468957329422446
2,5,5|6,2,0.7204261117304596
2,5,5|6,3,0.5937321937321938
2,5,5|6,4,0.7206469787969532
2,6,2|8,0,0.6846866096866097
2,6,2|8,1,0.5974190087324531
2,6,2|8,2,0.6749289414397539
2,6,2|8,3,0.6532459137501155
2,6,2|8,4,0.7428586819343123
3,0,2|3|7,0,0.6633478987653596
3,0,2|3|7,1,0.6639381768264782
3,0,2|3|7,2,0.6964349266067705
3,0,2|3|7,3,0.7506591337099812
3,0,2|3|7,4,0.7957943310607886
3,1,5|7|9,0,0.6780798149219203
3,1,5|7|9,1,0.6496571198063735
3,1,5|7|9,2,0.6257314015045974
3,1,5|7|9,3,0.3981900452488688
3,1,5|7|9,4,0.6394962180676468
3,2,2|9|10,0,0.6843761077632047
3,2,2|9|10,1,0.6688034188034189
3,2,2|9|10,2,0.6951790277658139
3,2,2|9|10,3,0.6396958956443425
3,2,2|9|10,4,0.8660749506903352
3,3,7|9|10,0,0.6562828475871952
3,3,7|9|10,1,0.6661639886830728
3,3,7|9|10,2,0.6574519230769229
3,3,7|9|10,3,0.5078226857887874
3,3,7|9|10,4,0.6266289931957097
3,4,5|6|7,0,0.6410541401014568
3,4,5|6|7,1,0.5426146623329723
3,4,5|6|7,2,0.6851678855495649
3,4,5|6|7,3,0.49460188933873134
3,4,5|6|7,4,0.70656689642149
3,5,1|2|8,0,0.6912547270215802
3,5,1|2|8,1,0.5923677884615385
3,5,1|2|8,2,0.6538461538461539
3,5,1|2|8,3,0.5878795007235376
